eval_index,dataset_row,episode_idx,start_step,case_type,lewm_success,ald_tf_success,selected_for_diagnosis,is_matched_control
0,103269,855,38,both_success,True,True,False,False
1,150184,1235,33,both_success,True,True,False,False
2,159880,1316,126,both_success,True,True,False,False
3,179079,1454,63,both_success,True,True,False,False
4,201651,1639,35,both_success,True,True,False,False
5,209205,1694,54,both_success,True,True,False,False
6,216277,1761,15,both_success,True,True,False,False
7,221566,1820,8,both_fail,False,False,True,False
8,229724,1918,32,both_success,True,True,False,False
9,305387,2635,108,both_success,True,True,False,False
10,309524,2665,15,both_success,True,True,False,False
11,332782,2860,57,lewm_fail_ald_success,False,True,True,False
12,363829,3015,81,both_success,True,True,False,False
13,378171,3110,93,both_success,True,True,False,False
14,388504,3184,107,both_success,True,True,False,False
15,429182,3516,71,both_success,True,True,False,False
16,445382,3646,27,both_success,True,True,False,False
17,457039,3726,4,both_success,True,True,False,False
18,472601,3838,123,both_success,True,True,False,False
19,531426,4288,30,both_success,True,True,False,False
20,532307,4299,9,lewm_fail_ald_success,False,True,True,False
21,561403,4541,75,both_success,True,True,False,False
22,645490,5123,112,both_success,True,True,False,False
23,671634,5303,30,both_success,True,True,False,False
24,730625,5865,66,lewm_fail_ald_success,False,True,True,False
25,761580,6097,12,both_success,True,True,False,False
26,771155,6153,67,both_success,True,True,False,False
27,829080,6651,31,both_fail,False,False,True,False
28,852195,6874,73,both_success,True,True,False,False
29,858340,6915,109,both_success,True,True,False,False
30,866978,6975,71,both_success,True,True,False,False
31,867793,6983,46,both_success,True,True,False,False
32,907581,7326,85,both_success,True,True,False,False
33,941628,7572,96,both_success,True,True,False,False
34,962190,7763,19,both_success,True,True,False,False
35,1015378,8234,125,both_success,True,True,False,False
36,1020306,8265,31,both_success,True,True,False,False
37,1024570,8291,38,both_success,True,True,False,False
38,1028314,8313,108,both_success,True,True,False,False
39,1038305,8373,79,both_success,True,True,False,False
40,1043438,8408,67,both_success,True,True,False,False
41,1054160,8486,15,both_success,True,True,False,False
42,1054327,8487,77,both_success,True,True,False,False
43,1085455,8798,90,both_success,True,True,False,False
44,1093764,8848,49,both_success,True,True,False,False
45,1099997,8885,103,both_success,True,True,False,False
46,1113796,8977,51,both_success,True,True,False,False
47,1169353,9548,4,both_success,True,True,False,False
48,1175198,9591,1,both_success,True,True,False,False
49,1206090,9864,24,both_success,True,True,False,False
50,1237188,10117,109,both_success,True,True,False,False
51,1279151,10378,1,both_success,True,True,True,True
52,1281748,10396,42,both_success,True,True,False,False
53,1299045,10489,5,both_fail,False,False,True,False
54,1322832,10698,124,both_success,True,True,False,False
55,1470879,11739,70,both_success,True,True,False,False
56,1475278,11774,94,both_success,True,True,False,False
57,1488695,11928,59,both_success,True,True,False,False
58,1504904,12047,63,both_success,True,True,False,False
59,1529254,12221,13,both_success,True,True,False,False
60,1564102,12473,7,both_success,True,True,True,True
61,1582184,12591,121,both_success,True,True,False,False
62,1593699,12708,18,lewm_fail_ald_success,False,True,True,False
63,1595232,12729,87,both_success,True,True,False,False
64,1602929,12780,32,both_success,True,True,False,False
65,1627742,12960,78,both_success,True,True,False,False
66,1634787,13023,67,both_success,True,True,False,False
67,1635364,13028,84,both_success,True,True,False,False
68,1673916,13303,36,both_success,True,True,False,False
69,1715130,13585,91,both_success,True,True,False,False
70,1733142,13734,26,both_success,True,True,False,False
71,1737286,13796,24,both_success,True,True,False,False
72,1768109,14033,49,both_success,True,True,False,False
73,1772553,14075,17,both_success,True,True,False,False
74,1775643,14107,67,both_success,True,True,False,False
75,1790685,14205,79,both_success,True,True,False,False
76,1805070,14326,56,both_success,True,True,False,False
77,1816034,14432,8,lewm_success_ald_fail,True,False,True,False
78,1823017,14474,59,both_success,True,True,False,False
79,1832717,14526,87,both_success,True,True,False,False
80,1854738,14686,42,both_success,True,True,False,False
81,1877814,14929,20,both_success,True,True,False,False
82,1920109,15277,1,both_success,True,True,False,False
83,1933146,15434,23,both_success,True,True,False,False
84,1945717,15589,6,both_success,True,True,False,False
85,1946720,15598,10,both_success,True,True,False,False
86,1962433,15700,171,both_success,True,True,False,False
87,1966654,15721,87,both_success,True,True,False,False
88,2004990,16015,94,both_success,True,True,False,False
89,2005637,16019,29,both_success,True,True,False,False
90,2069925,16399,31,both_success,True,True,False,False
91,2083016,16531,62,both_success,True,True,False,False
92,2094994,16637,6,lewm_fail_ald_success,False,True,True,False
93,2111868,16756,24,both_fail,False,False,True,False
94,2154356,17185,55,both_success,True,True,False,False
95,2164193,17263,64,both_success,True,True,False,False
96,2194412,17457,1,both_success,True,True,False,False
97,2255956,17885,43,both_success,True,True,False,False
98,2263224,17938,103,both_success,True,True,False,False
99,2275272,18053,36,both_success,True,True,True,True
